ano,capital,Instituição,UF,População,Conta,codigo_conta,nome_conta,valor_empenhado,valor_pago,diferenca_empenhado_pago,taxa_execucao_percentual,valor_pago_per_capita,valor_empenhado_per_capita
2020.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2512070.0,11 - Trabalho,11,Trabalho,153497577.0,145662579.43,7834997.569999993,94.89568648370262,57.985079806693285,61.104020588598246
2020.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2512070.0,12 - Educação,12,Educação,1871554767.71,1663065196.96,208489570.75,88.86008711328796,662.0297989148391,745.0249267377103
2020.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2512070.0,13 - Cultura,13,Cultura,76026856.52,67442974.35,8583882.170000002,88.70940801328292,26.84756967361578,30.264624998507205
2020.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2512070.0,14 - Direitos da Cidadania,14,Direitos da Cidadania,6650754.49,5899334.0,751420.4900000002,88.70172562932781,2.3483955463024517,2.647519571508756
2020.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2512070.0,15 - Urbanismo,15,Urbanismo,599422330.19,477987122.65,121435207.54000008,79.74129400526195,190.27619558770257,238.61688973237213
2020.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2512070.0,16 - Habitação,16,Habitação,154737269.39,129807996.84,24929272.549999982,83.88929011848579,51.673718025373496,61.597514953803035
2020.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2512070.0,17 - Saneamento,17,Saneamento,538687829.45,470214177.29,68473652.16000003,87.28880653756154,187.18195643035426,214.43981634667827
2020.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2512070.0,18 - Gestão Ambiental,18,Gestão Ambiental,137002795.83,105896744.73,31106051.10000001,77.29531655792049,42.15517271811693,54.5378097863515
2020.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2512070.0,19 - Ciência e Tecnologia,19,Ciência e Tecnologia,108299981.12,95248607.23,13051373.89,87.94886780678324,37.916382596822544,43.111848443713754
2020.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2512070.0,20 - Agricultura,20,Agricultura,996503.58,785716.06,210787.5199999999,78.84728923904117,0.31277633983129455,0.39668623087732424
2020.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2512070.0,23 - Comércio e Serviços,23,Comércio e Serviços,54487834.81,40380200.13,14107634.68,74.10865245573886,16.07447249877591,21.6904126119097
2020.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2512070.0,26 - Transporte,26,Transporte,269732422.68,236199768.55,33532654.129999995,87.56817819792401,94.02595013275905,107.37456467375512
2020.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2512070.0,27 - Desporto e Lazer,27,Desporto e Lazer,22201835.91,17628221.49,4573614.420000002,79.39983684889778,7.017408547532512,8.838064190090245
2020.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2512070.0,28 - Encargos Especiais,28,Encargos Especiais,662991281.52,649640549.5,13350732.01999998,97.98628844871209,258.6076620078262,263.92229576405117
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,01 - Legislativa,01,Legislativa,90396916.57,90393734.49,3182.079999998212,99.99647987993315,60.555375827753565,60.55750752472793
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,03 - Essencial à Justiça,03,Essencial à Justiça,15559158.26,15502252.92,56905.33999999985,99.63426466233527,10.385064374692261,10.423185647917093
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,04 - Administração,04,Administração,94246834.89,93126107.76,1120727.1299999952,98.81085966302417,62.38581121356964,63.136593919256136
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,06 - Segurança Pública,06,Segurança Pública,80243452.92,80073168.88,170284.04000000656,99.78779073705891,53.64155892667535,53.75563336001795
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,08 - Assistência Social,08,Assistência Social,125257305.28,119249767.38,6007537.900000006,95.20384229361252,79.88622797597714,83.91071836114004
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,09 - Previdência Social,09,Previdência Social,9536959.62,9088808.53,448151.08999999985,95.30090188218706,6.0886544788292705,6.38887393359214
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,10 - Saúde,10,Saúde,840110480.76,771170528.21,68939952.54999995,91.79394209108855,516.6123672897917,562.7957090862807
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,11 - Trabalho,11,Trabalho,15826032.51,15767350.2,58682.31000000052,99.62920390841532,10.562654840578933,10.601966518059012
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,12 - Educação,12,Educação,360406111.92,342731916.2,17674195.72000003,95.09603329814695,229.59843523173748,241.4384988192893
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,13 - Cultura,13,Cultura,17697993.75,7584653.66,10113340.09,42.85600824104709,5.081010929529156,11.856006049258246
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,15 - Urbanismo,15,Urbanismo,161176736.61,123773896.63,37402839.98000002,76.79389670824281,82.91697284532857,107.97338903161626
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,16 - Habitação,16,Habitação,27055344.72,26121730.59,933614.129999999,96.54924326538021,17.49912449212692,18.124558930024886
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,17 - Saneamento,17,Saneamento,404058576.1,356311668.98,47746907.120000005,88.18317195965587,238.69560372334192,270.68158064505326
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,18 - Gestão Ambiental,18,Gestão Ambiental,15701130.98,14328618.48,1372512.5,91.25851187568401,9.59883870319445,10.51829413597098
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,19 - Ciência e Tecnologia,19,Ciência e Tecnologia,18507177.44,17785466.58,721710.8600000031,96.10037315338992,11.914604691357196,12.398083691454335
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,23 - Comércio e Serviços,23,Comércio e Serviços,2230446.72,2230446.72,0.0,100.0,1.4941913856686844,1.4941913856686844
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,24 - Comunicações,24,Comunicações,5290796.59,5289871.84,924.75,99.9825215355709,3.5437210240195074,3.544340520316598
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,26 - Transporte,26,Transporte,52012048.95,51642376.29,369672.6600000039,99.28925572542744,34.595578139601876,34.84322436183005
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,27 - Desporto e Lazer,27,Desporto e Lazer,3759824.31,3484513.91,275310.3999999999,92.67757274541374,2.334299501924307,2.5187318061691717
2020.0,Belém,Prefeitura Municipal de Belém - PA,PA,1492745.0,28 - Encargos Especiais,28,Encargos Especiais,508661918.51,425700197.61,82961720.89999998,83.69020406658004,285.17944967827725,340.75606919467157
