ano,capital,Instituição,UF,População,Conta,codigo_conta,nome_conta,valor_empenhado,valor_pago,diferenca_empenhado_pago,taxa_execucao_percentual,valor_pago_per_capita,valor_empenhado_per_capita
2024.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2392678.0,11 - Trabalho,11,Trabalho,6182414.3,5477330.5,705083.7999999998,88.59533240921755,2.289205024662742,2.583888972941616
2024.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2392678.0,12 - Educação,12,Educação,3347105213.17,3023311311.88,323793901.28999996,90.32615108673745,1263.5679819348863,1398.8949675510034
2024.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2392678.0,13 - Cultura,13,Cultura,122253042.97,101992125.2,20260917.769999996,83.4270646539474,42.626765991913665,51.094649162988084
2024.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2392678.0,14 - Direitos da Cidadania,14,Direitos da Cidadania,57567487.49,50133853.63,7433633.859999999,87.08709692898915,20.953029881162447,24.05985573069172
2024.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2392678.0,15 - Urbanismo,15,Urbanismo,1077541940.01,944967850.93,132574089.08000004,87.69661911454048,394.9415052631403,450.34975036757976
2024.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2392678.0,16 - Habitação,16,Habitação,173643603.52,147091418.19,26552185.330000013,84.70880309337639,61.47564285290373,72.57290931750951
2024.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2392678.0,17 - Saneamento,17,Saneamento,770466189.08,693610252.14,76855936.94000006,90.0247489079602,289.888673753844,322.0099775565287
2024.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2392678.0,18 - Gestão Ambiental,18,Gestão Ambiental,175386881.18,151669473.6,23717407.580000013,86.47709143327614,63.38900328418617,73.30149781123913
2024.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2392678.0,19 - Ciência e Tecnologia,19,Ciência e Tecnologia,158420883.74,132677131.45,25743752.290000007,83.74977358903602,55.45131081156762,66.21069936698545
2024.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2392678.0,20 - Agricultura,20,Agricultura,3269940.5,2683274.84,586665.6600000001,82.05882767591642,1.1214525481489779,1.366644613274331
2024.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2392678.0,23 - Comércio e Serviços,23,Comércio e Serviços,89486184.61,79136741.18,10349443.429999992,88.43459079733358,33.0745470890776,37.400011455783016
